%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,8,0x0400000000004000,1667922622.405547000,1667922693.842940000,71.437393000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",43046,162.159.128.233,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_31,-_-,443,https,31,31,9544,8064,0,1460,307.871,389.1855,0,17.89301,2.304432,4.628937,0.4339464,133.5995,0,0.0840527,0x0011,23609,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3768753547,31,9544,0,31,7506,0,1990,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,5.4976e-05,0.216554,0.04965467,0.06377329,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,6,18,4.5,3,178,34542
B,8,0x0400000000004001,1667922622.405482000,1667922693.842763000,71.437281000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.128.233,au,"Cloudflare",443,10.0.2.16,04,"Private network",43046,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_31,-_-,443,https,31,31,8064,9544,0,1440,260.129,320.6009,0,17.89553,2.304428,4.629605,0.4339471,112.8822,0,-0.0840527,0x0011,1,16,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,93982457,31,8064,0,31,9544,0,1440,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,6.5024e-05,17.89308,2.262825,4.648004,2.312479,4.648441,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,5,17,17,3.4,103,24897
A,1,0x0400000000004000,1667922305.068038000,1667922310.087064000,5.019026000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",45374,185.151.204.12,de,"ADJUST-ANYCAST",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_3,-_-,443,https,3,3,0,375,0,0,0,0,0,4.974685,1.673009,1.716531,0.5977256,0,0,-1,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3164945897,3,0,0,3,24,0,0,65535,65535,65535,65535,0,0,0,0,0x0010,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,5.9e-05,4.974603,1.658221,1.725898,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,18,3.6,9,238,35039
B,1,0x0400000000004001,1667922305.067913000,1667922310.042782000,4.974869000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,185.151.204.12,de,"ADJUST-ANYCAST",443,10.0.2.16,04,"Private network",45374,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_3,-_-,443,https,3,3,375,0,0,351,125,118.8237,0,4.974728,1.65829,1.725924,0.603031,75.37888,0,1,0x0011,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,51972058,3,375,0,3,0,0,24,8760,8760,8760,8760,0,0,0,0,0x0139,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,8.2e-05,0.044282,0.01482967,0.01700432,1.67305,1.725981,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,17,17,17,3,375
A,2,0x0400000000004000,1667922336.202629000,1667922342.502273000,6.299644000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",36364,162.159.136.234,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_6,-_-,443,https,6,6,42,518,0,42,7,12.99878,0,3.724572,1.049941,1.136964,0.9524348,6.667043,0,-0.85,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,485441946,6,42,0,6,267,0,42,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000458944,3.724476,1.041721,1.141704,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,8,16,4,2,243,35039
B,2,0x0400000000004001,1667922336.202450000,1667922342.502147000,6.299697000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.136.234,au,"Cloudflare",443,10.0.2.16,04,"Private network",36364,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_6,-_-,443,https,6,6,518,42,0,251,86.33334,62.21753,0,3.724655,1.04995,1.13703,0.9524268,82.22618,0,0.85,0x0011,1,60,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,51083301,6,462,0,6,42,0,105,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,4.5024e-05,0.04941901,0.008342168,0.01525662,1.050063,1.141806,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,7,15,15,2.142857,70,18812
A,3,0x0400000000004000,1667922362.637160000,1667922362.698939000,0.061779000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",54206,162.159.133.232,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.061779,0.0308895,0.02184217,32.37346,0,0,0,0x0011,41876,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4285385231,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.01760902,0.06171001,0.03965952,0.01559206,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,16,3.2,8,249,35082
B,3,0x0400000000004001,1667922362.654769000,1667922362.698870000,0.044101000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.133.232,au,"Cloudflare",443,10.0.2.16,04,"Private network",54206,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.044101,0.0220505,0.01559206,45.35044,0,0,0,0x0011,4,4,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,50884082,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,6.8992e-05,6.8992e-05,3.4496e-05,2.439236e-05,0.03969401,0.01559207,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,15,15,15,2,0
A,10,0x0400000000004000,1667922708.024645000,1667922958.646011000,250.621366000,1,3,eth:ipv4:tcp,02:15:c8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",44376,162.159.130.234,au,"Cloudflare",443,6,0x00,1,02:15:c8:00:00:00_52:55:0a:00:02:02_69,-_-,443,https,69,69,540,11011,0,131,7.826087,21.57631,0,13.09346,3.632194,3.842102,0.2753157,2.154645,0,-0.9065016,0x0011,46914,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4175388491,69,540,0,69,9571,0,131,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,2.6e-05,13.09335,3.242658,3.852788,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,14,3.5,7,249,35082
B,10,0x0400000000004001,1667922708.024564000,1667922958.645893000,250.621329000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c8:00:00:00,0x0800,,162.159.130.234,au,"Cloudflare",443,10.0.2.16,04,"Private network",44376,6,0x00,1,52:55:0a:00:02:02_02:15:c8:00:00:00_69,-_-,443,https,69,69,11011,540,0,1440,159.5797,342.647,0,13.09344,3.632193,3.842689,0.2753158,43.93481,0,0.9065016,0x0011,1,8,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,105219884,69,11011,0,69,540,0,2880,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,4.3e-05,11.64303,0.3896924,1.543201,3.63235,4.150354,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,1,13,13,13,69,11011
