%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,16,0x0408000000004000,1660847041.134186000,1660847089.372929000,48.238743000,1,3,eth:ipv4:tcp,02:15:b4:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",56262,31.13.80.8,ca,"Facebook",443,6,0x00,1,02:15:b4:00:00:00_52:55:0a:00:02:02_57,-_-,443,https,57,58,32905,6579,0,1460,577.2807,516.7502,-0.004197,32.73035,0.8462936,4.308054,1.181623,682.1281,-0.008695652,0.6667511,0x0011,0,1,64,64,0,0x00,0xc044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1239476568,55,32905,0,55,6548,0,4380,65535,32112.15,0,65535,1,0,0,0,0x011d,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.05914399,0.01054756,0.01713162,0,0,0x53,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,22,36,18,1.636364,272,59901
B,16,0x0400000000004001,1660847041.128930000,1660847089.372929000,48.243999000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b4:00:00:00,0x0800,,31.13.80.8,ca,"Facebook",443,10.0.2.16,04,"Private network",56262,6,0x00,1,52:55:0a:00:02:02_02:15:b4:00:00:00_58,-_-,443,https,58,57,6579,32905,0,827,113.431,272.3787,0,32.728,0.8317932,4.275341,1.202222,136.3693,0.008695652,-0.6667511,0x0011,1,104,64,255,1,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,375493027,57,6579,0,58,31445,0,827,8760,6132,0,8760,1,0,0,0,0x053d,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,32.73039,1.416653,5.813815,1.427201,5.813839,0x13,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,21,35,35,1.666667,90,15604
A,2,0x0400000000004000,1660846546.784942000,1660846546.844942000,0.060000000,1,3,eth:ipv4:tcp,02:15:b4:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",34010,31.13.80.8,ca,"Facebook",443,6,0x00,1,02:15:b4:00:00:00_52:55:0a:00:02:02_4,-_-,443,https,4,4,1708,810,0,1460,427,461.1415,0,0.06,0.015,0.0225,66.66667,28466.67,0,0.3566323,0x0011,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,203181924,4,1708,0,4,810,0,49,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.06,0.015,0.0225,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,24,40,20,1.666667,311,65093
B,2,0x0400000000004001,1660846546.784942000,1660846546.844942000,0.060000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b4:00:00:00,0x0800,,31.13.80.8,ca,"Facebook",443,10.0.2.16,04,"Private network",34010,6,0x00,1,52:55:0a:00:02:02_02:15:b4:00:00:00_4,-_-,443,https,4,4,810,1708,0,810,202.5,303.75,0,0.06,0.015,0.0225,66.66667,13500,0,-0.3566323,0x0011,1,1,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,311364033,4,0,0,4,248,0,810,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.015,0.0225,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,23,39,39,1.695652,96,17439
A,1,0x0400000000004000,1660846532.336942000,1660846587.016941000,54.679999000,1,3,eth:ipv4:tcp,02:15:b4:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",40584,31.13.80.34,ca,"Facebook",443,6,0x00,1,02:15:b4:00:00:00_52:55:0a:00:02:02_34,-_-,443,https,34,34,2090,5560,0,276,61.47059,91.41325,0,15.56164,1.608235,2.795962,0.6217995,38.22239,0,-0.4535948,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1626914407,34,2090,0,34,5209,0,276,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.001816,0.084,0.02524788,0.02171156,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,16,38,19,2.375,336,73241
B,1,0x0400000000004001,1660846532.336942000,1660846587.016941000,54.679999000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b4:00:00:00,0x0800,,31.13.80.34,ca,"Facebook",443,10.0.2.16,04,"Private network",40584,6,0x00,1,52:55:0a:00:02:02_02:15:b4:00:00:00_34,-_-,443,https,34,34,5560,2090,0,721,163.5294,243.5781,0,15.556,1.608235,2.794281,0.6217995,101.6825,0,0.4535948,0x0011,1,5,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,311236197,34,4839,0,34,2090,0,721,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,15.56164,1.586175,2.806579,1.611423,2.806664,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,15,37,37,2.466667,227,34096
A,4,0x0408000000004000,1660846614.553886000,1660846614.612940000,0.059054000,1,3,eth:ipv4:tcp,02:15:b4:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",39354,31.13.80.8,ca,"Facebook",443,6,0x00,1,02:15:b4:00:00:00_52:55:0a:00:02:02_4,-_-,443,https,4,4,1705,827,0,1460,426.25,461.1996,-0.001006,0.06,0.0147635,0.02262089,67.73462,28871.88,0,0.3467615,0x0011,1,1,64,64,0,0x00,0x8040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1512178828,4,1705,0,4,827,0,49,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.06,0.01525149,0.0223763,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,22,36,18,1.636364,356,74373
B,4,0x0400000000004001,1660846614.552940000,1660846614.612940000,0.060000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b4:00:00:00,0x0800,,31.13.80.8,ca,"Facebook",443,10.0.2.16,04,"Private network",39354,6,0x00,1,52:55:0a:00:02:02_02:15:b4:00:00:00_4,-_-,443,https,4,4,827,1705,0,827,206.75,310.125,0,0.06,0.015,0.0225,66.66667,13783.33,0,-0.3467615,0x0011,1,1,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,320132050,4,0,0,4,245,0,827,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.01525149,0.0223763,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,21,35,35,1.666667,111,19886
A,3,0x0400000000004000,1660846599.980941000,1660846655.040939000,55.059998000,1,3,eth:ipv4:tcp,02:15:b4:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",46030,31.13.80.34,ca,"Facebook",443,6,0x00,1,02:15:b4:00:00:00_52:55:0a:00:02:02_31,-_-,443,https,31,31,1881,5170,0,275,60.67742,91.57914,0,25.67342,1.776129,3.784753,0.5630222,34.16273,0,-0.4664586,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,660800403,31,1881,0,31,4819,0,275,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.001266,0.06,0.02430061,0.02088249,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,16,38,19,2.375,377,76834
B,3,0x0400000000004001,1660846599.980941000,1660846655.040939000,55.059998000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b4:00:00:00,0x0800,,31.13.80.34,ca,"Facebook",443,10.0.2.16,04,"Private network",46030,6,0x00,1,52:55:0a:00:02:02_02:15:b4:00:00:00_31,-_-,443,https,31,31,5170,1881,0,721,166.7742,248.7388,0,25.668,1.776129,3.783413,0.5630222,93.89757,0,0.4664586,0x0011,1,5,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,320196198,31,4449,0,31,1881,0,721,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,25.67342,1.755099,3.793758,1.779399,3.793815,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,15,37,37,2.466667,262,40612
