%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0400000000004000,1667851549.680336000,1667851549.710014000,0.029678000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",52722,76.223.92.165,us,"Amazoncom",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,66,160,0,66,33,23.33452,0,0.029678,0.014839,0.01049276,67.38998,2223.87,0,-0.4159292,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,812379365,2,66,0,2,160,0,0,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.002321984,0.02967802,0.016,0.009671818,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,20,38,19,1.9,472,133410
B,1,0x0400000000004001,1667851549.678014000,1667851549.710014000,0.032000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,76.223.92.165,us,"Amazoncom",443,10.0.2.16,04,"Private network",52722,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_2,-_-,443,https,2,2,160,66,0,160,80,56.56854,0,0.032,0.016,0.01131371,62.5,5000,0,0.4159292,0x0011,2,2,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,99267891,2,0,0,2,0,0,160,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.016,0.009671818,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,19,37,37,1.947368,282,62050
A,4,0x0400000000004000,1667851707.290203000,1667851738.085097000,30.794894000,1,3,eth:ipv4:tcp,02:15:c2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",36206,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:c2:00:00:00_52:55:0a:00:02:02_16,-_-,443,https,16,18,513,6602,0,66,32.0625,25.74533,0,6.594716,1.924681,2.197704,0.5195667,16.65861,-0.05882353,-0.8557976,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3883722482,16,457,0,16,5785,0,66,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000376,6.594564,1.388288,1.981228,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,18,36,18,2,613,176773
B,4,0x0400000000004001,1667851707.290062000,1667851738.094939000,30.804877000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",36206,6,0x00,1,52:55:0a:00:02:02_02:15:c2:00:00:00_18,-_-,443,https,18,16,6602,513,0,817,366.7778,367.8788,0,6.594028,1.711382,2.160442,0.584323,214.3167,0.05882353,0.8557976,0x0011,1,5,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,116740945,18,6602,0,18,513,0,817,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,8.8e-05,5.713884,0.3638968,1.293922,1.752185,2.366326,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,17,35,35,2.058824,336,82972
A,6,0x0400000000004000,1667851738.058386000,1667851738.088394000,0.030008000,1,3,eth:ipv4:tcp,02:15:c2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",36192,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:c2:00:00:00_52:55:0a:00:02:02_3,-_-,443,https,3,3,31,0,0,31,10.33333,10.75527,0,0.029393,0.01000267,0.01119642,99.97334,1033.058,0,1,0x0011,53168,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2589017488,3,31,0,3,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0119,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,6.6e-05,0.028218,0.009705001,0.01069077,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,16,34,17,2.125,613,176773
B,6,0x0400000000004001,1667851738.059067000,1667851738.087219000,0.028152000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",36192,6,0x00,1,52:55:0a:00:02:02_02:15:c2:00:00:00_3,-_-,443,https,3,3,0,31,0,0,0,0,0,0.027387,0.009384001,0.01039638,106.5644,0,0,-1,0x0011,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,116675848,3,0,0,3,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.001175,0.001175,0.0003916667,0.0004522577,0.01009667,0.01070033,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,15,33,33,2.2,336,82972
A,3,0x0400000000004000,1667851701.469989000,1667851738.680896000,37.210907000,1,3,eth:ipv4:tcp,02:15:c2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",36218,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:c2:00:00:00_52:55:0a:00:02:02_20,-_-,443,https,20,20,9882,2099,0,1197,494.1,536.7477,0,9.904658,1.860546,2.741867,0.5374768,265.5673,0,0.6496119,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1329543327,20,9882,0,20,2099,0,1197,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000356,0.06901401,0.01978996,0.01865458,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,14,32,16,2.285714,613,176773
B,3,0x0400000000004001,1667851701.470614000,1667851738.680608000,37.209994000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:c2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",36218,6,0x00,1,52:55:0a:00:02:02_02:15:c2:00:00:00_20,-_-,443,https,20,20,2099,9882,0,950,104.95,161.4601,0,9.905157,1.8605,2.742735,0.53749,56.40957,0,-0.6496119,0x0011,1,12,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,116803891,20,1975,0,20,9635,0,950,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,8e-05,9.904801,1.841679,2.752752,1.861469,2.752815,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,13,31,31,2.384615,336,82972
A,2,0x0400000000004000,1667851698.450016000,1667851746.850017000,48.400001000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",43192,13.248.212.111,us,"Amazon Technologies Inc",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_22,-_-,443,https,22,22,9943,2256,0,1196,451.9546,527.9711,0,11.252,2.2,3.128717,0.4545454,205.4339,0,0.6301336,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3696245909,22,9943,0,22,2256,0,1196,65535,65535,65535,65535,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.06630503,0.02181818,0.01923344,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,12,30,15,2.5,613,176773
B,2,0x0400000000004001,1667851698.450016000,1667851746.850017000,48.400001000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,13.248.212.111,us,"Amazon Technologies Inc",443,10.0.2.16,04,"Private network",43192,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_22,-_-,443,https,22,22,2256,9943,0,950,102.5455,155.8804,0,11.252,2.2,3.129421,0.4545454,46.61157,0,-0.6301336,0x0011,1,39,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,120771891,22,2096,0,22,9696,0,950,8760,8760,8760,8760,0,0,0,0,0x0018,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,11.252,2.179571,3.141118,2.201389,3.141176,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,11,29,29,2.636364,336,82972
