%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,2,0x0408000000004000,1660858960.222260000,1660858974.964022000,14.741762000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",54286,20.189.173.11,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_23,-_-,443,https,23,25,22263,1447,0,1460,967.9565,606.9537,-0.003029,14.39427,0.6409461,2.826418,1.560193,1510.199,-0.04166667,0.8779418,0x0011,1,1,64,64,0,0x00,0xc040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,431714852,23,22263,0,23,1448,0,4380,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.116,0.01852092,0.03512608,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,6,8,4,1.333333,40,26797
B,2,0x0400000000004001,1660858960.221471000,1660858974.961472000,14.740001000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,20.189.173.11,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",54286,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_25,-_-,443,https,25,23,1447,22263,0,483,57.88,146.0741,0,14.392,0.5896001,2.715909,1.696065,98.16824,0.04166667,-0.8779418,0x0011,1,17,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2072838790,25,1447,0,25,21651,0,483,8760,8760,8760,8760,0,0,0,0,0x0139,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,14.39503,1.87858,4.684149,1.897101,4.68428,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,5,7,7,1.4,38,3916
A,13,0x0408000000004000,1660859028.662585000,1660859043.129799000,14.467214000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",49062,20.44.10.123,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_21,-_-,443,https,21,22,19445,1449,0,1460,925.9524,619.1887,-0.003059,14.2348,0.688915,2.919387,1.451558,1344.074,-0.02325581,0.8612999,0x0011,1,1,64,64,0,0x00,0xc040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,708197545,21,19445,0,21,1449,0,4380,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.076,0.01008946,0.02155842,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,28,3.111111,7,178,102020
B,13,0x0400000000004001,1660859028.661474000,1660859043.129474000,14.468000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,20.44.10.123,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",49062,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_22,-_-,443,https,22,21,1449,19445,0,485,65.86364,152.9385,0,14.232,0.6576364,2.855113,1.520597,100.1521,0.02325581,-0.8612999,0x0011,1,12,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2082439241,22,1449,0,22,18909,0,485,8760,8760,8760,8760,0,0,0,0,0x0139,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,14.2348,2.035685,4.810933,2.045774,4.810981,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,27,27,9,24,1449
A,9,0x0400000000004000,1660859023.369473000,1660859085.569475000,62.200002000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",34960,52.113.194.132,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_5,-_-,443,https,5,5,780,428,0,780,156,237.5125,0,61.89193,12.44,21.4584,0.08038585,12.54019,0,0.2913907,0x0011,38022,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2666963149,5,780,0,5,170,0,780,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,7.2e-05,0.216286,0.0481432,0.06966855,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,4,30,3,7.5,263,157757
B,9,0x0400000000004001,1660859023.369473000,1660859085.569475000,62.200002000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,52.113.194.132,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",34960,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_5,-_-,443,https,5,5,428,780,0,258,85.6,85.04642,0,61.936,12.44,21.4774,0.08038585,6.881029,0,-0.2913907,0x0011,1,180,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2082054136,5,428,0,5,780,0,170,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,61.93593,12.40073,21.49413,12.44887,21.49425,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,3,29,29,9.666667,10,1077
A,11,0x0400000000004000,1660859025.689473000,1660859085.589475000,59.900002000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",47946,52.112.95.95,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_3,-_-,443,https,3,3,0,743,0,0,0,0,0,59.85756,19.96667,20.75818,0.05008347,0,0,-1,0x0011,42827,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1717204084,3,0,0,3,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.02244704,0.04244704,0.02163136,0.01365357,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,2,28,2.8,14,263,157757
B,11,0x0400000000004001,1660859025.689473000,1660859085.589475000,59.900002000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,52.112.95.95,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",47946,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_3,-_-,443,https,3,3,743,0,0,743,247.6667,257.7796,0,59.88,19.96667,20.77076,0.05008347,12.40401,0,1,0x0011,4,130,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2082629759,3,743,0,3,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0119,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,59.85756,19.95252,20.76724,19.97415,20.76724,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,1,27,27,27,3,743
A,10,0x0400000000004000,1660859024.425473000,1660859085.589475000,61.164002000,1,3,eth:ipv4:tcp,02:15:b2:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",44068,20.110.63.249,us,"Microsoft Corporation",443,6,0x00,1,02:15:b2:00:00:00_52:55:0a:00:02:02_5,-_-,443,https,5,5,0,4262,0,0,0,0,0,61.11996,12.2328,21.21258,0.08174743,0,0,-1,0x0011,63276,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2325882430,5,0,0,5,2822,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.04404102,0.00881641,0.01575293,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,26,2.888889,13,263,157757
B,10,0x0400000000004001,1660859024.425473000,1660859085.589475000,61.164002000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b2:00:00:00,0x0800,,20.110.63.249,us,"Microsoft Corporation",443,10.0.2.16,04,"Private network",44068,6,0x00,1,52:55:0a:00:02:02_02:15:b2:00:00:00_5,-_-,443,https,5,5,4262,0,0,1440,852.4,610.4705,0,61.12,12.2328,21.2126,0.08174743,69.68151,0,1,0x0011,1,168,64,64,0,0x00,0x4000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2082371985,5,4262,0,5,0,0,1440,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,61.11996,12.22399,21.21664,12.23281,21.21664,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,25,25,25,5,4262
