%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,3,0x0400000000004000,1667922297.752798000,1667922324.503312000,26.750514000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",45996,149.154.175.53,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_315,-_-,443,https,315,335,6349,453213,0,1460,20.15556,131.4266,0,25.33072,0.08492227,1.422712,11.77548,237.3412,-0.03076923,-0.9723693,0x0011,52468,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3827196714,315,6349,0,315,450333,0,1741,65535,63096.9,57408,65535,1,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.100603,0.001390134,0.008674528,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,8,14,7,1.75,603,26041
B,3,0x0400000000004001,1667922297.752496000,1667922324.503134000,26.750638000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.175.53,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",45996,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_335,-_-,443,https,335,315,453213,6349,0,1440,1352.875,324.8536,0,25.33139,0.07985265,1.379906,12.52307,16942.14,0.03076923,0.9723693,0x0011,1,134,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,57133614,335,453213,0,335,6349,0,8640,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,25.33083,0.08443888,1.422784,0.08582902,1.42281,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,7,13,13,1.857143,550,649073
A,9,0x0400000000004000,1667922373.576974000,1667922435.704507000,62.127533000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",59738,149.154.175.53,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_7,-_-,443,https,7,7,370,324,0,217,52.85714,72.41661,0,31.23845,8.875362,9.179409,0.1126715,5.955492,0,0.06628242,0x0011,58759,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2345139934,7,370,0,7,146,0,217,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000390016,31.2383,7.359286,9.553822,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,10,16,8,1.6,712,45415
B,9,0x0400000000004001,1667922373.576892000,1667922435.704427000,62.127535000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.175.53,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",59738,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_7,-_-,443,https,7,7,324,370,0,178,46.28571,52.20532,0,31.23839,8.875361,9.179336,0.1126715,5.215079,0,-0.06628242,0x0011,1,64,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,67520002,7,324,0,7,370,0,73,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,8e-05,10.60773,1.516314,3.389516,8.8756,10.13727,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,9,15,15,1.666667,685,660783
A,8,0x0400000000004000,1667922369.466476000,1667922435.704704000,66.238228000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",38250,149.154.175.53,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_83,-_-,443,https,83,106,16311,10425,0,843,196.5181,155.4833,0,10.27007,0.7980509,1.9603,1.253053,246.2475,-0.1216931,0.2201526,0x0011,42495,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4132778852,83,16311,0,83,10425,0,843,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,9.4976e-05,8.171451,0.1985909,0.9376851,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,8,14,7,1.75,712,45415
B,8,0x0400000000004001,1667922369.467083000,1667922435.704567000,66.237484000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.175.53,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",38250,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_106,-_-,443,https,106,83,10425,16311,0,1440,98.34906,235.9345,0,10.31443,0.6248819,1.775232,1.600302,157.3882,0.1216931,-0.2201526,0x0011,1,39,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,66624260,106,10425,0,106,15998,0,1516,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,5.4016e-05,10.31404,0.5470796,1.737365,0.7456705,1.974257,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,7,13,13,1.857143,685,660783
A,11,0x0400000000004000,1667922612.365859000,1667922622.239181000,9.873322000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",59708,149.154.167.50,gb,"Telegram Messenger Network",443,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_4,-_-,443,https,4,4,297,153,0,297,74.25,96.65184,0,9.749133,2.46833,3.454808,0.4051321,30.08106,0,0.32,0x0011,8801,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2338307134,4,297,0,4,0,0,297,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000367,0.109844,0.02765825,0.04109304,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,4,20,6.666667,5,756,47471
B,11,0x0400000000004001,1667922612.365694000,1667922622.239012000,9.873318000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.167.50,gb,"Telegram Messenger Network",443,10.0.2.16,04,"Private network",59708,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_4,-_-,443,https,4,4,153,297,0,153,38.25,49.79034,0,9.749078,2.468329,3.45479,0.4051323,15.49631,0,-0.32,0x0011,1,90,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,99840002,4,153,0,4,297,0,0,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000164992,9.748711,2.440846,3.468896,2.468505,3.469139,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,3,19,19,6.333333,6,306
A,15,0x0400000000004000,1667922686.341270000,1667922696.546416000,10.205146000,1,3,eth:ipv4:tcp,02:15:b8:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",33446,149.154.175.53,gb,"Telegram Messenger Network",5222,6,0x00,1,02:15:b8:00:00:00_52:55:0a:00:02:02_15,-_-,5222,xmpp-client,15,19,3270,4524,0,901,218,216.9541,0,4.124829,0.6803431,1.312994,1.469847,320.4266,-0.1176471,-0.160893,0x0011,57644,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3267025925,15,3270,0,15,4524,0,901,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000142016,4.122924,0.2355369,0.8875217,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,12,4,1.333333,0.3333333,785,52525
B,15,0x0400000000004001,1667922686.341501000,1667922696.546318000,10.204817000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:b8:00:00:00,0x0800,,149.154.175.53,gb,"Telegram Messenger Network",5222,10.0.2.16,04,"Private network",33446,6,0x00,1,52:55:0a:00:02:02_02:15:b8:00:00:00_19,-_-,5222,xmpp-client,19,15,4524,3270,0,1440,238.1053,430.0341,0,4.116996,0.5370957,1.204904,1.861866,443.3201,0.1176471,0.160893,0x0011,1,8,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,109632260,19,4524,0,19,3053,0,1516,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,2.7008e-05,4.037112,0.3878968,0.9818497,0.6234337,1.323527,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,11,3,3,0.2727273,725,666101
