%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0400000000004000,1667922336.367986000,1667922354.509108000,18.141122000,1,3,eth:ipv4:tcp,02:15:ba:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",33240,172.217.13.110,us,"Google LLC",80,6,0x00,1,02:15:ba:00:00:00_52:55:0a:00:02:02_2,-_-,80,http,2,2,0,0,0,0,0,0,0,18.14112,9.070561,6.413856,0.1102468,0,0,0,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4132768300,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.01487699,0.01487699,0.007438496,0.005259811,0,0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,4,4,2,1,8,0
B,1,0x0400000000004001,1667922336.319986000,1667922354.523985000,18.203999000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:ba:00:00:00,0x0800,,172.217.13.110,us,"Google LLC",80,10.0.2.16,04,"Private network",33240,6,0x00,1,52:55:0a:00:02:02_02:15:ba:00:00:00_2,-_-,80,http,2,2,0,0,0,0,0,0,0,18.204,9.101999,6.436085,0.109866,0,0,0,0x0011,11,11,64,64,0,0x08,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,24128129,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.048,18.18912,9.118561,6.413855,9.125999,6.413857,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,3,3,3,1,4,0
A,2,0x0400000000004000,1667922436.539982000,1667922436.575982000,0.036000000,1,3,eth:ipv4:tcp,02:15:ba:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",42976,172.217.13.110,us,"Google LLC",80,6,0x00,1,02:15:ba:00:00:00_52:55:0a:00:02:02_2,-_-,80,http,2,2,0,0,0,0,0,0,0,0.036,0.018,0.01272792,55.55556,0,0,0,0x0011,37059,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3564934265,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.008,0.036,0.022,0.009899494,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1,1,8,0
B,2,0x0400000000004001,1667922436.547982000,1667922436.575982000,0.028000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:ba:00:00:00,0x0800,,172.217.13.110,us,"Google LLC",80,10.0.2.16,04,"Private network",42976,6,0x00,1,52:55:0a:00:02:02_02:15:ba:00:00:00_2,-_-,80,http,2,2,0,0,0,0,0,0,0,0.028,0.014,0.009899495,71.42857,0,0,0,0x0011,3,3,64,64,0,0x08,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,57664129,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.022,0.009899494,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1,1,4,0
A,3,0x0400000000004000,1667922436.547982000,1667922436.575982000,0.028000000,1,3,eth:ipv4:tcp,02:15:ba:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",33906,31.13.80.53,ca,"Facebook",443,6,0x00,1,02:15:ba:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.028,0.014,0.009899495,71.42857,0,0,0,0x0011,28876,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1490718122,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.028,0.014,0.009899495,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,4,4,4,1,8,0
B,3,0x0400000000004001,1667922436.547982000,1667922436.575982000,0.028000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:ba:00:00:00,0x0800,,31.13.80.53,ca,"Facebook",443,10.0.2.16,04,"Private network",33906,6,0x00,1,52:55:0a:00:02:02_02:15:ba:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.028,0.014,0.009899495,71.42857,0,0,0,0x0011,2,2,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,57732248,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.014,0.009899495,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,3,3,3,1,4,0
A,4,0x0400000000004000,1667922436.547982000,1667922436.575982000,0.028000000,1,3,eth:ipv4:tcp,02:15:ba:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",33892,31.13.80.53,ca,"Facebook",443,6,0x00,1,02:15:ba:00:00:00_52:55:0a:00:02:02_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.028,0.014,0.009899495,71.42857,0,0,0,0x0011,63211,0,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3327108168,2,0,0,2,0,0,0,65535,65535,65535,65535,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0.028,0.014,0.009899495,0,0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2,1,8,0
B,4,0x0400000000004001,1667922436.547982000,1667922436.575982000,0.028000000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:ba:00:00:00,0x0800,,31.13.80.53,ca,"Facebook",443,10.0.2.16,04,"Private network",33892,6,0x00,1,52:55:0a:00:02:02_02:15:ba:00:00:00_2,-_-,443,https,2,2,0,0,0,0,0,0,0,0.028,0.014,0.009899495,71.42857,0,0,0,0x0011,4,4,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,57605399,2,0,0,2,0,0,0,8760,8760,8760,8760,0,0,0,0,0x0111,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0,0,0,0,0.014,0.009899495,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1,1,4,0
A,5,0x0400000000004000,1667923068.777252000,1667923147.007288000,78.230036000,1,3,eth:ipv4:tcp,52:55:0a:00:02:02,02:15:ba:00:00:00,0x0800,,31.13.80.48,ca,"Facebook",5222,10.0.2.16,04,"Private network",39338,6,0x00,1,52:55:0a:00:02:02_02:15:ba:00:00:00_44,-_-,39338,unknown,44,44,1213,841,0,241,27.56818,45.78422,0,13.28821,1.777955,2.999894,0.5624439,15.50555,0,0.18111,0x0011,1,7,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,153600116,44,1213,0,44,841,0,164,8760,8760,8760,8760,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,5.7024e-05,13.28754,1.339924,2.912323,0,0,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2,1,52,1213
B,5,0x0400000000004001,1667923068.777334000,1667923147.007381000,78.230047000,1,3,eth:ipv4:tcp,02:15:ba:00:00:00,52:55:0a:00:02:02,0x0800,,10.0.2.16,04,"Private network",39338,31.13.80.48,ca,"Facebook",5222,6,0x00,1,02:15:ba:00:00:00_52:55:0a:00:02:02_44,-_-,39338,unknown,44,44,841,1213,0,161,19.11364,34.76862,0,13.28748,1.777956,2.996169,0.5624437,10.75035,0,-0.18111,0x0011,40180,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1994298343,44,841,0,44,972,0,161,65535,65535,65535,65535,0,0,0,0,0x0119,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.000000,0.000000000,0,0.000188992,6.376926,0.4394647,1.280259,1.779388,3.181303,0x01,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1,1,48,841
